Player Name,Salary (Millions USD),Position,Age,Birthdate,Team,GP,PTS,RBS,AST,STL,BLK,TOV,Total Minutes
Stephen Curry,48070014,PG,34,14/03/1988,Golden State Warriors,56,29.4,6.1,6.3,0.9,0.4,3.2,1941
John Wall,47345760,PG,32,06/09/1990,Los Angeles Clippers,34,11.4,2.7,5.2,0.8,0.4,2.4,755
Russell Westbrook,47080179,PG,34,12/11/1988,Los Angeles Lakers,73,15.9,5.8,7.5,1,0.5,3.5,2126
LeBron James,44474988,PF,38,30/12/1984,Los Angeles Lakers,55,28.9,8.3,6.8,0.9,0.6,3.2,1954
Kevin Durant,44119845,PF,34,29/09/1988,Brooklyn Nets,47,29.1,6.7,5,0.7,1.4,3.3,1672
Bradley Beal,43279250,SG,29,28/06/1993,Washington Wizards,50,23.2,3.9,5.4,0.9,0.7,2.9,1673
Kawhi Leonard,42492492,SF,31,29/06/1991,Los Angeles Clippers,52,23.8,6.5,3.9,1.4,0.5,1.7,1748
Paul George,42492492,SF,32,02/05/1990,Los Angeles Clippers,56,23.8,6.1,5.1,1.5,0.4,3.1,1939
Giannis Antetokounmpo,42492492,PF,28,06/12/1994,Milwaukee Bucks,63,31.1,11.8,5.7,0.8,0.8,3.9,2024
Damian Lillard,42492492,PG,32,15/07/1990,Portland Trail Blazers,58,32.2,4.8,7.3,0.9,0.3,3.3,2107
Klay Thompson,40600080,SF,32,08/02/1990,Golden State Warriors,69,21.9,4.1,2.4,0.7,0.4,1.8,2279
Kyrie Irving,38917057,PG,30,23/03/1992,Brooklyn Nets,60,27.1,5.1,5.5,1.1,0.8,2.1,2241
Rudy Gobert,38172414,C,30,26/06/1992,Minnesota Timberwolves,70,13.4,11.6,1.2,0.8,1.4,1.7,2148
Khris Middleton,37984276,SF,31,12/08/1991,Milwaukee Bucks,33,15.1,4.2,4.9,0.7,0.2,2.2,801
Anthony Davis,37980720,C,29,11/03/1993,Los Angeles Lakers,56,25.9,12.5,2.6,1.1,2,2.2,1904
Jimmy Butler,37653300,PF,33,14/09/1989,Miami Heat,64,22.9,5.9,5.3,1.8,0.3,1.6,2138
Tobias Harris,37633050,SF,30,15/07/1992,Philadelphia 76ers,74,14.7,5.7,2.5,0.9,0.5,1.2,2436
Kemba Walker,37281261,PG,32,08/05/1990,Dallas Mavericks,9,8,1.8,2.1,0.2,0.2,0.4,144
Trae Young,37096500,PG,24,19/09/1998,Atlanta Hawks,73,26.2,3,10.2,1.1,0.1,4.1,2541
Zach LaVine,37096500,SG,27,10/03/1995,Chicago Bulls,77,24.8,4.5,4.2,0.9,0.2,2.5,2768
Ben Simmons,35448672,PG,26,20/07/1996,Brooklyn Nets,42,6.9,6.3,6.1,1.3,0.6,2.3,1105
Pascal Siakam,35448672,PF,28,02/04/1994,Toronto Raptors,71,24.2,7.8,5.8,0.9,0.5,2.4,2652
Myles Turner,35096500,C,26,24/03/1996,Indiana Pacers,62,18,7.5,1.4,0.6,2.3,1.7,1825
Jrue Holiday,34319520,PG,32,12/06/1990,Milwaukee Bucks,67,19.3,5.1,7.4,1.2,0.4,2.9,2183
Karl-Anthony Towns,33833400,PF,27,15/11/1995,Minnesota Timberwolves,29,20.8,8.1,4.8,0.7,0.6,3,957
Devin Booker,33833400,SG,26,30/10/1996,Phoenix Suns,53,27.8,4.5,5.5,1,0.3,2.7,1835
Andrew Wiggins,33616770,SF,27,23/02/1995,Golden State Warriors,37,17.1,5,2.3,1.2,0.8,1.3,1190
